title,currency,selling price,original price,discount,shipping fee,availability,ASIN,image
"Logitech G PRO X Gaming Headset (2nd Generation) with Blue Voice, DTS Headphone 7.1 and 50 mm PRO-G Drivers, for PC, Xbox One, Xbox Series X|S,PS5,PS4, Nintendo Switch - Black",USD - U.S. Dollar,$99.90,,-23%,No Import Fees Deposit & FREE Shipping to Hong Kong,Only 1 left in stock - order soon,B07PDFBJZD,https://m.media-amazon.com/images/I/51j6CXF9DYL._AC_SY450_.jpg
"Logitech G PRO X Wireless Lightspeed Gaming Headset - Shroud Edition, Black",USD - U.S. Dollar,N/A,,,N/A,N/A,B08DZ6RVQT,https://m.media-amazon.com/images/I/610yRl5ecJS._AC_SX466_.jpg
"Logitech G PRO X 2 Lightspeed Wireless Gaming Headset: Detachable Boom Mic, 50mm Graphene Drivers, DTS:X Headphone 2.0?€?7.1 Surround, Bluetooth/USB/3.5mm Aux, for PC, PS5, PS4, Nintendo Switch - White",USD - U.S. Dollar,$247.33,,,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,N/A,B0B3F8YMVV,https://m.media-amazon.com/images/I/61RZXdaHbSL._AC_SX466_.jpg
"Logitech G PRO X 2 Lightspeed Wireless Gaming Headset: Detachable Boom Mic, 50mm Graphene Drivers, DTS:X Headphone 2.0?€?7.1 Surround, Bluetooth/USB/3.5mm Aux, for PC, PS5, PS4, Nintendo Switch - Black",USD - U.S. Dollar,$248.50,,,No Import Fees Deposit & FREE Shipping to Hong Kong,In Stock,B0B3F8V4JG,https://m.media-amazon.com/images/I/71A3paWDIXL._AC_SX679_.jpg
"Logitech G PRO X Wireless Lightspeed Gaming Headset with Blue VO!CE Mic Filter Tech, 50 mm PRO-G Drivers, and DTS Headphone:X 2.0 Surround Sound",USD - U.S. Dollar,N/A,,,N/A,N/A,B081PP4CB6,https://m.media-amazon.com/images/I/51j+X0scmhL._AC_SY450_.jpg
"Logitech G PRO X Gaming Headset (2nd Generation) - Black & PRO X Superlight Wireless Gaming Mouse, Ultra-Lightweight, Hero 25K Sensor, 25,600 DPI - Black",USD - U.S. Dollar,$236.96,,,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,N/A,B0B4MLSF7V,https://m.media-amazon.com/images/I/31pbEVaGBBL._AC_SY355_.jpg
Logitech G Logitech G915 TKL Tenkeyless Lightspeed Wireless RGB Mechanical Gaming Tactile Keyboard PRO X Gaming Headset,USD - U.S. Dollar,$299.96,,,This item cannot be shipped to your selected delivery location. Please choose a different delivery location.,N/A,B0B75Y527P,https://m.media-amazon.com/images/I/512EMg3yeTL._AC_SY450_.jpg
"Higround Crystal Amethyst Basecamp 65% Mechanical Keyboard, White Flame Switches for Precision, Programable RGB, Translucent, Smooth Typing, Hot-Swappable, Deep Thocc Dual Silicone Dampening",USD - U.S. Dollar,$120.00,,,No Import Fees Deposit & FREE Shipping to Hong Kong,In Stock,B0CCQDVNN3,https://m.media-amazon.com/images/I/61fJwdAQMRL._AC_SX466_.jpg
"Higround Crystal Opal Basecamp 65% Mechanical Keyboard, Silent Glacier Switches for Precision, Programable RGB, Translucent, Smooth Typing, Hot-Swappable, Deep Thocc Dual Silicone Dampening",USD - U.S. Dollar,$135.00,,,No Import Fees Deposit & FREE Shipping to Hong Kong,In Stock,B0CCQ49HJM,https://m.media-amazon.com/images/I/61cOcvT4dnL._AC_SX679_.jpg
"Higround Crystal Opal Basecamp 65% Mechanical Keyboard, White Flame Switches for Precision, Programable RGB, Translucent, Smooth Typing, Hot-Swappable, Deep Thocc Dual Silicone Dampening",USD - U.S. Dollar,$120.00,,,No Import Fees Deposit & FREE Shipping to Hong Kong,In Stock,B0CCQGBDLV,https://m.media-amazon.com/images/I/61X3U71K70L._AC_SX466_.jpg
"
",,,,,,,,
